Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNG13HK18D,GSFC - Goddard Space Flight Center,Silver Spring,MD,'08',7/12/2013,7/18/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","4,580","4,580","4,580",541519,N/A,N/A,"FUNDS FOR IRONKEY 8GB USB PORTS AND MANAGEMENT LICENSES, AND  SEWP FEE.",,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNG13HK44D,GSFC - Goddard Space Flight Center,Silver Spring,MD,'08',8/21/2013,9/6/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","36,516","36,516","36,516",541519,N/A,N/A,"FUNDS FOR CORAID 36 DISK HIGH PERFORMANCE ETHERNET SAN ARRAY, CORAID 3TB 7.2K RPM SATA HDD IN 3.5\ DRIVE CARRIER, CORAID ADVANCED SUPPORT 1 YEAR.  SEWP FEE""",,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNG13LL16D,GSFC - Goddard Space Flight Center,Silver Spring,MD,'08',9/26/2013,10/31/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","10,239","10,239","10,239",541519,N/A,N/A,FUNDS FOR APPLE PRODUCTS.  APPLE MACBOOK PRO 15 INCH. SEWP FEE.,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNG13VF51D,GSFC - Goddard Space Flight Center,Silver Spring,MD,'08',4/22/2013,4/21/2014,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","23,804","23,804","23,804",541519,N/A,N/A,FUNDS FOR HP FORTIFY STATIC CODE ANALYZER SOFTWARE LICENSE/SUPPORT (QTY. 10).  SEWP FEE.,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNG13VH05D,GSFC - Goddard Space Flight Center,Silver Spring,MD,'08',7/18/2013,8/23/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","8,008","8,008","8,008",541519,N/A,N/A,"FUNDS FOR RENEWAL SERVER SUPPORT, AND SEWP FEE.",,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNH12PW28D,HQ - Headquarters Acquisition Division,Silver Spring,MD,'04',9/17/2012,9/16/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"20,627","20,627",541519,N/A,N/A,"OCE COLORWAVE 300 INCLUDES TOP-INTEGRATED COLOR ENABLED SCANNER FOR COPYING AND SCANNING, CONTROLLER WITH CONCURRENT PROCESSING, ADOBE POSTSCRIPT, PDF PRINTING. 2-ROLL COLOR PRINTER; BLACK AND WHITE; MONTHLY MAINTENANCE INCLUDE ALL PARTS AND LABOR.",,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [TYSONS CORNER,VIRGINIA]",NNJ12JA67D,JSC - Johnson Space Flight Center,,MD,'08',2/29/2012,3/5/2015,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","83,624","315,622","315,622",541519,N/A,N/A,SALESFORCE CRM LICENSES INCLUDING 12-MONTH SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ12JC82D,JSC - Johnson Space Flight Center,Silver Spring,MD,'04',5/16/2012,5/31/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"26,381","26,381",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ12JE15D,JSC - Johnson Space Flight Center,Silver Spring,MD,'04',7/26/2012,9/30/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"24,865","24,865",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ12JE72D,JSC - Johnson Space Flight Center,Washington,DC,'00',8/16/2012,7/20/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"13,818","13,818",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ13JA14D,JSC - Johnson Space Flight Center,Silver Spring,MD,'04',11/29/2012,12/10/2012,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","14,600","14,600","14,600",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ13JA71D,JSC - Johnson Space Flight Center,Silver Spring,MD,'08',4/30/2013,4/29/2014,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","19,201","19,201","19,201",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ13JA74D,JSC - Johnson Space Flight Center,Silver Spring,MD,'08',4/22/2013,5/31/2014,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","26,682","26,682","26,682",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ13JB08D,JSC - Johnson Space Flight Center,Silver Spring,MD,'08',6/5/2013,8/6/2014,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","15,683","15,683","15,683",541519,N/A,N/A,SOFTWARE LICENSES WITH INTEGRATION SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNJ13JD24D,JSC - Johnson Space Flight Center,Silver Spring,MD,'08',9/11/2013,10/10/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","4,749","4,749","4,749",541519,N/A,N/A,TALON ENHANCED SYSTEM KIT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [TYSONS CORNER,VIRGINIA]",NNJ13JD28D,JSC - Johnson Space Flight Center,,MD,'08',9/9/2013,10/9/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","1,099,460","1,099,460","1,099,460",541519,N/A,N/A,JSC''S CONSOLIDATED STORAGE OBSOLSCENCE,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNK11MB24D,KSC - Kennedy Space Flight Center,Silver Spring,MD,'04',8/15/2011,10/31/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"59,971","59,971",541519,N/A,N/A,HP SOFTWARE MAINTENANCE AND SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNK12EB84D,KSC - Kennedy Space Flight Center,Silver Spring,MD,'04',8/21/2012,10/22/2012,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"37,927","37,927",541519,N/A,N/A,OPTIVA/EMCORE FIBER OPTIC TEST EQUIPMENT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNK12MB89D,KSC - Kennedy Space Flight Center,Orlando,FL,'24',9/21/2012,9/8/2015,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"19,536","19,536",541519,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS. SYMANTEC RISK AUTOMATION SUITE AND NESSUS RENEWAL,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNK13MA57D,KSC - Kennedy Space Flight Center,Silver Spring,MD,'08',5/31/2013,8/31/2014,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","44,316","44,316","44,316",541519,N/A,N/A,"IGF::OT::IGF HP SOFTWARE LICENSE RENEWAL FOR SUPPORT AGRREMENT ID# 1038 6337 7261, PERIOD OF PEFORMANCE NOVEMBER 1, 2013 THROUGH AUGUST 31, 2014. HP SOFTWARE LICENSE RENEWAL FOR SUPPORT AGREEMENT ID# 1037 2509 7301, PERIOD OF PEFORMANCE SEPTEMBER 1, 2013 THROUGH AUGUST 31, 2014. HP SOFTWARE LICENSE RENEWAL FOR SUPPORT AGREEMENT ID# 1037 2509 7471, PERIOD OF PEFORMANCE SEPTEMBER 1, 2013 THROUGH AUGUST 31, 2014",,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNL12AA92T,LaRC - Langley Research Center,,MD,'04',1/26/2012,12/31/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","107,619","192,681","192,681",541519,N/A,N/A,STORNEXT SOFTWARE MAINTENANCE SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [TYSONS CORNER,VIRGINIA]",NNL12AA96T,LaRC - Langley Research Center,,VA,'11',1/26/2012,1/31/2016,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","35,269","144,670","144,670",541519,N/A,N/A,SYMANTEC NETBACKUP SOFTWARE SUPPORT RENEWAL,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNL13AA90D,LaRC - Langley Research Center,Silver Spring,MD,'08',5/22/2013,5/21/2014,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","81,024","81,024","81,024",541519,N/A,N/A,SPLUNK ENTERPRISE PERPETUAL LICENSE UPGRADE (50GB TO 100 GB) W/ ANNUAL SUPPORT,,,,,,,,,
"ALVAREZ & ASSOCIATES, LLC [SILVER SPRING,MARYLAND]",NNL13AB16T,LaRC - Langley Research Center,Silver Spring,MD,'08',3/14/2013,12/31/2013,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price","96,448","96,448","96,448",541519,N/A,N/A,IGF::OT::IGF QUANTUM STORNEXT ANNUAL SOFTWARE MAINTENANCE RENEWAL,,,,,,,,,
"ALVAREZ AND ASSOCIATES LIMITED LIABILITY COMPANY [WASHINGTON,DISTRICT OF COLUMBIA]",NNL10AA94D,LaRC - Langley Research Center,Hanover,MD,'02',4/21/2010,9/14/2015,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Service Related Disabled Veteran Owned Business, Veteran Owned","Delivery Order, Firm Fixed Price",0,"74,133","74,133",541519,N/A,N/A,QUANTUM TAPE DRIVES AND EXTENDED WARRANTY,,,,,,,,,
"ALVATEK ELECTRONICS, LLC [WILMINGTON,DELAWARE]",NNG13HD68P,GSFC - Goddard Space Flight Center,Wilmington,DE,'00',6/19/2013,11/1/2013,", Small Disadvantaged Business, Small Business - For Profit Organization, Hispanic American Owned Business, Limited Liability Corporation, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price","75,033","75,033","75,033",423690,N/A,N/A,"FUNDS FOR PUSH-PULL SPECIALTY PLUG, ELECTRICAL CONNECTORS FOR USE IN INSTRUMENT DEVELOPMENT/TESTING.",,,,,,,,,
"ALZATEX INC [ALOHA,OREGON]",NNL12AB63D,LaRC - Langley Research Center,Beaverton,OR,'01',9/20/2012,11/9/2012,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Minority Owned, Other Minority Owned","Delivery Order, Firm Fixed Price",0,"6,276","6,276",238190,N/A,N/A,QUEUE MANAGEMENT SYSTEM,,,,,,,,,
"AM BIOTECHNOLOGIES, LLC [HOUSTON,TEXAS]",NNJ12HB64P,JSC - Johnson Space Flight Center,,TX,'29',4/11/2012,9/30/2013,", Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"149,500","149,500",541711,N/A,N/A,"WITH THE RETIREMENT OF THE SPACE SHUTTLE, BIOLOGICAL SAMPLE RETURN FROM THE INTERNATIONAL SPACE STATION (ISS) WILL BE CHALLENGING DUE TO VOLUME LIMITATIONS ON SOYUZ.  BASED ON ADVANCED TECHNOLOGIES DEVELOPED BY NASA AND OTHER ORGANIZATIONS, THIS PROJECT IDENTIFIES HIGH PRIORITY ANALYTES TO BE MEASURED AND VALIDATED AGAINST A LABORATORY GOLD STANDARD (I.E. ELISA, OTHER COMPARABLE ASSAY DETECTION METHODS) IN PHASE III DEVELOPMENT BY AM BIOTECHNOLOGIES THAT WILL SHOW FEASIBILITY FOR POTENTIAL ON-ORBIT DEMONSTRATION ABOARD THE ISS.  THE SUCCESSFUL DEPLOYMENT OF LABORATORY ANALYSIS CAPABILITY ON ISS ADDRESSES HUMAN HEALTH COUNTERMEASURES (HHC S) PRIMARY RISK:  THE LOSS OF SAMPLE RETURN CAPABILITIES DUE TO THE RETIREMENT OF THE SPACE SHUTTLE.  RATHER THAN RELYING ON GROUND-BASED ANALYSIS, ON-ORBIT ANALYSIS PROVIDES `POINT OF CARE  ASSESSMENT OF ANALYTES OF INTEREST TO THE BIOMEDICAL RESEARCH COMMUNITY AT NASA.  IT MAY ALSO BE OF VALUE FOR EXPLORATION MEDICAL CAPABILITIES  INTEGRATED RESEARCH PLAN GAP EXMC 4.15: LACK OF MINIMALLY INVASIVE INFLIGHT LABORATORY CAPABILITIES WITH LIMITED CONSUMABLES REQUIRED FOR DIAGNOSING IDENTIFIED EXPLORATION MEDICAL CONDITIONS. NASA HHC WILL PROVIDE FUNDING FOR PHASE III DEVELOPMENT OF A THIOAPTAMER FEASIBILITY ASSAY DERIVED FROM A SELECT PANEL OF ANALYTES.  THE SELECT ASSAY WILL BE DEVELOPED AND IMPLEMENTED ON A MICROFLUIDIC GEL ELECTROPHORESIS INSTRUMENT DEVELOPED BY SANDIA NATIONAL LABORATORIES.    THE GOAL OF THIS CONTRACT IS TO PROVIDE DEVELOPMENT AND PERFORMANCE TESTING SERVICES FOR AN ASSAY TO ONE PROTEIN TARGET.  TNF-  (TUMOR NECROSIS FACTOR ALPHA) IS THE PRIMARY PROTEIN TARGET; HOWEVER, THIOAPTAMER SELECTIONS TO TWO OTHER PROTEIN TARGETS (TBD AND TBD) MAY ALSO BE ATTEMPTED TO MITIGATE THE RISK THAT A THIOAPTAMER WITH SUFFICIENT BINDING AFFINITY AND SPECIFICITY FOR USE IN AN ASSAY FOR TNF-  IS NOT DISCOVERED.  THE PERFORMER IS EXPECTED TO PROVIDE MONTHLY REPORTS TO MONITOR PROGRESS AND ASSAY DEVELOPMENT.",,,,,,,,,
"AM BIOTECHNOLOGIES, LLC [HOUSTON,TEXAS]",NNX10CA98C,NSSC - NASA Shared Services Center,,TX,'29',6/28/2010,6/1/2013,", Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation","Definitive Contract, Firm Fixed Price",0,"749,500","749,500",541712,N/A,N/A,"AM BIOTECHNOLOGIES (AM) IN PARTNERSHIP WITH SANDIA NATIONAL LABORATORIES WILL DEVELOP A THIOAPTAMER DIAGNOSTIC SYSTEM (TDS) IN RESPONSE TO TOPIC X10.01 REUSABLE DIAGNOSTIC LAB TECHNOLOGY. THE TDS WILL QUICKLY QUANTIFY CLINICALLY RELEVANT BIOMARKERS IN FLIGHT USING ONLY MICROLITERS OF VIRTUALLY ANY COMPLEX SAMPLE. THE SYSTEM COMBINES AMBIENT-STABLE, LONG-SHELF-LIFE AFFINITY AGENT ASSAYS WITH A HANDHELD MICROFLUIDIC GEL ELECTROPHORESIS AFFINITY ASSAY QUANTIFICATION TECHNOLOGY. THE SYSTEM IS EASY TO USE, COMPATIBLE WITH OPERATION IN MICROGRAVITY, AND DESIGNED TO PERMIT SIMULTANEOUS QUANTIFICATION OF 32 OR MORE BIOMARKERS FROM A SINGLE ASTRONAUT SAMPLE.",,,,,,,,,
"AMAZON WEB SERVICES LLC [SEATTLE,WASHINGTON]",NNJ13PC11106173,JSC - Johnson Space Flight Center,Seattle,WA,'07',1/16/2013,1/23/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","3,156","3,156","3,156",511210,N/A,N/A,CISCO WS-C3560-48PS-S,,,,,,,,,
"AMBIT GROUP [VIENNA,VIRGINIA]",NNG12PP65D,GSFC - Goddard Space Flight Center,FAIRFAX STATION,VA,'10',9/20/2012,10/31/2014,", Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership, Service Related Disabled Veteran Owned Business, Small Business, Veteran Owned, Women Owned, Women Owned Small Business","Delivery Order, Firm Fixed Price","346,697","891,456","891,456",541519,N/A,N/A,"IGF::OT::IGF OTHER FUNCTION: VENDOR PROVIDE SUPPORT TO GSFC IT GOVERNANCE AND PORTFOLIO MANAGEMENT PROGRAM IN THE DESIGN AND IMPLEMENTATION OF A CENTER IT GOVERNANCE FRAMEWORK AND FOUNDATION FOR CONSISTENT REVIEW AND ANALYSIS OF THE IT PORTFOLIO.  THIS TASK WILL SUPPORT THE CENTER IT GOVERNANCE&PORTFOLIO MANGEMENT (CITGPM) PROGRAM BY AIDING IN THE DESIGN, DEVELOPMENT AND EXECUTION STAGES FOR ESTABLISHING A GODDARD-WIDE GOVERNANCE MODEL AND STRATEGY TO DIRECTLY SUPPORT THE CENTER''S ABILITY TO MANAGE ITS IT PORTFOLIO. ADDITIONALLY, THIS WILL ASSIST THE GODDARD CIO AND CITGPM PROGRAM ESCALATE VISIBILITY OF THE IT ASSETS AND IMPROVE EFFECTIVENESS AND EFFICIENCY IN MAKING IT INVESTMENT DECISIONS.",,,,,,,,,
"AMER INDUSTRIAL TECHNOLOGIES, INC. [WILMINGTON,DELAWARE]",NNC13VD36P,GRC - Glenn Research Center,Wilmington,DE,'00',3/13/2013,3/26/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","11,500","11,500","11,500",332312,N/A,N/A,GLENN EXTREME ENVIRONMENTS RIG (GEER) AMSE CODE STAMPED PRESSURE VESSEL,,,,,,,,,
"AMERESCO SELECT, INC. [FRAMINGHAM,MASSACHUSETTS]",NNG10AZ01D,GSFC - Goddard Space Flight Center,WALLOPS ISLAND,VA,'02',12/22/2009,11/1/2029,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","1,890,972","23,795,152","57,354,812",541690,N/A,N/A,"This contract is for the supply and installation of Energy Conservation Measures (ECMs) to the following: ECM 1, High Efficiency Lighting Retrofits ECM 2, Boiler Decentralization ECM-3, Wind Turbines  ECM-4, Building Automation System/Direct Digital Control (BAS/DDC) Upgrade",,,,,,,,,
"AMERESCO SELECT, INC. [FRAMINGHAM,MASSACHUSETTS]",NNG10AZ04D,GSFC - Goddard Space Flight Center,GREENBELT,MD,'05',3/2/2010,3/1/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"4,917,574","6,789,717",541690,N/A,N/A,"Install Energy Conservation Measures at Goddard Space Flight Center, Greenbelt, MD. ",,,,,,,,,
"AMERGINT TECHNOLOGIES LLC [COLORADO SPRINGS,COLORADO]",NNG11VE55P,GSFC - Goddard Space Flight Center,Colorado Springs,CO,'05',9/27/2011,10/20/2012,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"24,943","24,943",541511,N/A,N/A,"DEVELOPMENT FRAMEWORK CREATED BY AMERGINT TECHNOLOGIES FOR GENERATING AND CONFIGURING MODULAR SOFTWARE DEVICES FOR DATA PROCESSING, TRANSFORMATION AND DISTRIBUTION; AND ANNUAL MAINTENANCE SUPPORT",,,,,,,,,
"AMERGINT TECHNOLOGIES LLC [COLORADO SPRINGS,COLORADO]",NNG12VR01P,GSFC - Goddard Space Flight Center,Colorado Springs,CO,'05',7/9/2012,7/8/2013,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"47,955","47,955",541511,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS:  THIS PROCUREMENT IS FOR ECL OUTPUT SYSTEM (FILE PLAYBACK) AND ANNUAL SYSTEM/HARDWARE MAINTENANCE SUPPORT,,,,,,,,,
"AMERGINT TECHNOLOGIES LLC [COLORADO SPRINGS,COLORADO]",NNG13VH12P,GSFC - Goddard Space Flight Center,Colorado Springs,CO,'05',9/30/2013,2/3/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","53,303","53,303","53,303",541511,N/A,N/A,HIGH RATE MISSION DATA PROCESSOR WITH COMPONENTS/HIGH RATE CCSDS PROCESSING SWDS FOR SOFTFEP SYSTEMS; HIGH RATE MISSION DATA PROCESSOR; MAINTENANCE FOR DATA PROCESSOR; GPU SOFTWARE FOR REED-SOLOM FEC; MAINTENANCE FOR REAL-TIME REED-SOLOMON ENCODER GPU CO-PROCESSOR,,,,,,,,,
"AMERGINT TECHNOLOGIES LLC [COLORADO SPRINGS,COLORADO]",NNJ13GA35P,JSC - Johnson Space Flight Center,Colorado Springs,CO,'05',8/22/2013,10/21/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","51,630","51,630","51,630",541512,N/A,N/A,CDP SVR PLATFORM/CDP SOFTEEP APP SW (K-CDP)/CDP MAINTENANCE AND SUPPORT,,,,,,,,,
"AMERGINT TECHNOLOGIES LLC [COLORADO SPRINGS,COLORADO]",NNJ13JB46P,JSC - Johnson Space Flight Center,,CO,'05',1/2/2013,11/30/2015,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","32,513","32,513","32,513",541512,NNJ13459441R,"Ester H. Lunnon, Contracting Officer, 281-244-7532, ester.h.lunnon@nasa.gov",MAINTENANCE RENEWAL FOR ODAR COMMUNICATIONS DATA PROCESSOR,,,,,,,,,
"AMERGREEN INCORPORATED [THOUSAND OAKS,CALIFORNIA]",NND13CE03W,AFRC - Armstrong Flight Research Center,Edwards,CA,'23',7/15/2013,7/22/2013,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, Very Small Business, Women Owned","Delivery Order, Firm Fixed Price","3,231","3,231","3,231",522190,N/A,N/A,RSMEANS COSTWORKS BUILDING SOFTWARE,,,,,,,,,
"AMERICAN AEROSPACE ADVISORS, INC [RADNOR,PENNSYLVANIA]",NNX12CG26P,NSSC - NASA Shared Services Center,,PA,'07',2/10/2012,2/12/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price",0,"124,214","124,214",541712,STTR12PHASE1,N/A,"WE PROPOSE TO DEVELOP A CAPABILITY TO PROVIDE INTEGRATED ACCELERATION, VIBRATION, AND SHOCK TESTING USING A STATE-OF-THE-ART CENTRIFUGE, ALLOWING FOR THE TEST OF SYNERGISTIC EFFECTS OF THESE COMBINED ENVIRONMENTS. BY INSTALLING A SHAKER TABLE ON THE CENTRIFUGE, THE TEST SETUP CAN PROVIDE BOTH SUSTAINED AND DYNAMIC-G LOADS AS WELL AS SIMULTANEOUS VIBRATION LOADS, IN TWO INDEPENDENT AXES. THIS METHOD WILL PROVIDE MORE REALISTIC LAUNCH ENVIRONMENTS FOR TESTING LAUNCH PAYLOADS. BY PROVIDING A MORE REALISTIC TEST ENVIRONMENT, COMBINED ENVIRONMENT TESTING HAS THE POTENTIAL TO REDUCE COST, SAVE TIME, REDUCING RISK AND INCREASE PERFORMANCE.   LAUNCH VIBRATION DATA FOR A TERRIOR-ORION TWO-STAGE SUBORBITAL SOUNDING ROCKET WAS USED AS A BASIS FOR ANALYSIS. THE DATA PRESENTS A TYPICAL LAUNCH LOAD ENVIRONMENT IN THAT TWO MAIN LOADS EXIST: 1) SUSTAINED-G LOAD FROM ACCELERATION OF THE ROCKET, AND 2) RANDOM VIBRATION AND SHOCK LOADS. THE CURRENT FIXED-TABLE VIBRATION TEST DEVICES ARE INCAPABLE OF SIMULATING BOTH OF THESE LOADS AT THE SAME TIME. ACCORDINGLY, THE CURRENT TEST METHODOLOGIES TYPICALLY OVERSTRESS THE PAYLOAD TO ENSURE THAT THE SYSTEM SURVIVES THE LAUNCH LOADS. BY ENABLING THE PROPOSED CAPABILITY TO TEST PAYLOADS BY SIMULTANEOUSLY APPLYING SUSTAINED-G AND VIBRATION LOADS, WE CAN MORE CLOSELY SIMULATE THE ACTUAL LAUNCH CONDITIONS, RESULTING IN RISK, SCHEDULE AND COST REDUCTION.",,,,,,,,,
"AMERICAN AEROSPACE CONTROLS INC. [FARMINGDALE,NEW YORK]",NND13CD02W,AFRC - Armstrong Flight Research Center,Farmingdale,NY,'02',4/22/2013,5/29/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Women Owned","Purchase Order, Firm Fixed Price","3,816","3,816","3,816",334519,N/A,N/A,SENSORS FOR C-17,,,,,,,,,
