Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,
"AUTOMATION DISTRIBUTION INC [HATFIELD,PENNSYLVANIA]",80NSSC20P0588,NSSC - NASA Shared Services Center,HATFIELD,PA,'01',2/11/2020,3/11/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,0,0,334419,N/A,N/A,COLLABORATIVE ROBOT ARM FOR ANTENNA MEASUREMENT,,,,
"AUTOMATION SCIENCES, LLC [FAIRFAX,VIRGINIA]",80NSSC20C0464,NSSC - NASA Shared Services Center,FAIRFAX,VA,'11',8/10/2020,3/1/2021,", Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","Definitive Contract, Firm Fixed Price","113,880","113,880","113,880",541715,N/A,N/A,A NOVEL TIME-SERIES DATA ANALYTICS APPROACH TO IMPROVE THE FORECAST OF IRREGULAR OPERATIONS FOR AIRLINES AND AIR TRAFFIC MANAGEMENT,,,,
"AUTONOMOUS HEALTHCARE INC [HOBOKEN,NEW JERSEY]",80NSSC19C0246,NSSC - NASA Shared Services Center,HOBOKEN,NJ,'08',8/13/2019,2/18/2020,", Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Definitive Contract, Firm Fixed Price",0,"124,989","124,989",541715,N/A,N/A,REMOTE CARDIOPULMONARY SENSING.,,,,
"AUTONOMOUS HEALTHCARE INC [HOBOKEN,NEW JERSEY]",80NSSC20C0117,NSSC - NASA Shared Services Center,HOBOKEN,NJ,'08',7/6/2020,7/5/2022,", Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Definitive Contract, Firm Fixed Price","749,453","749,453","749,453",541715,N/A,N/A,AUTONOMOUS HEALTHCARE,,,,
"AUTRY MUSEUM OF THE AMERICAN WEST [LOS ANGELES,CALIFORNIA]",80MSFC18P0058,MSFC - Marshall Space Flight Center,LOS ANGELES,CA,'28',9/13/2018,9/11/2043,"Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization","Purchase Order, Firm Fixed Price",0,"16,000","16,000",712110,80MSFC18Q4019,N/A,"AUTRY MUSEUM - CURATION TO PRESERVE FOR FUTURE USE, CERTAIN COLLECTIONS OF (2) FEDERALLY-OWNED ARCHAEOLOGICAL ARTIFACTS AND ASSOCIATED RECORDS.",,,,
"AVAIR, LLC [CHANDLER,ARIZONA]",80NSSC20P0273,NSSC - NASA Shared Services Center,CHANDLER,AZ,'09',12/4/2019,12/4/2019,"Other Than Small Business - Corporate Entity Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price","13,500","13,500","13,500",336413,N/A,N/A,QTY 6 KEARFOTT BATTERY ASSEMBLIES P/N A206C438-01,,,,
"AVALANCHE TECHNOLOGY, INC. [FREMONT,CALIFORNIA]",80NSSC19C0309,NSSC - NASA Shared Services Center,FREMONT,CA,'17',8/19/2019,2/18/2020,", Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Definitive Contract, Firm Fixed Price",0,"124,581","124,581",541715,N/A,N/A,PMTJ STT-MRAM BASED CHIPLETS FOR NEUROMORPHIC COMPUTING,,,,
"AVANTES, INC [LOUISVILLE,COLORADO]",80NSSC20P2123,NSSC - NASA Shared Services Center,LOUISVILLE,CO,'02',9/15/2020,10/20/2020,"Other Than Small Business - Foreign Owned And Located, For Profit Organization, International Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","14,060","14,060","14,060",334516,N/A,N/A,COMPACT SPECTROMETER,,,,
"AVENGER AEROSPACE SOLUTIONS, INC. [GREENVILLE,SOUTH CAROLINA]",80JSC018C0011,JSC - Johnson Space Flight Center,GREENVILLE,SC,'04',3/8/2018,8/15/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Definitive Contract, Firm Fixed Price","-293,576","3,896,634","4,208,456",336411,80JSC018R0008,N/A,GULFSTREAM V NADIR VIEWPORT INSTALLATION,,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",80KSC018F0278,KSC - Kennedy Space Flight Center,KNOXVILLE,TN,'02',9/25/2018,9/30/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"531,824","531,824",541519,N/A,N/A,IBM HARDWARE AND SOFTWARE RECORDING AND RETRIEVAL STORAGE SYSTEM UPGRADES FOR LAUNCH CONTROL SYSTEM,,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",80KSC019F0283,KSC - Kennedy Space Flight Center,ORLANDO,FL,'08',9/26/2019,9/27/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"685,288","685,288",541519,N/A,N/A,KENNEDY SPACE CENTER ANNUAL IBM MAINTENANCE RENEWAL,,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",80NSSC20F0128,NSSC - NASA Shared Services Center,KNOXVILLE,TN,'02',11/14/2019,12/24/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","130,382","130,382","130,382",541519,N/A,N/A,OTTHIS ORDER IS FOR 2EA - IBM SERVER P9 AIX LOAD SERVER PART NUMBER: SERVER MODEL 9009-41A AND ASSOCIATED SOFTWARE AND SERVICES.,,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",80NSSC20F0143,NSSC - NASA Shared Services Center,KNOXVILLE,TN,'02',11/15/2019,12/18/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","118,010","118,010","118,010",541519,4200714488,N/A,DDE MEMORY UPGRADES FOR IBM 8284 MODEL 24A SERVERS,,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",80NSSC20F0329,NSSC - NASA Shared Services Center,KNOXVILLE,TN,'02',1/14/2020,1/14/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","14,285","14,285","14,285",541519,N/A,N/A,IT HARDWARE MAINTENANCE,,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",NNG15SD90B,GSFC - Goddard Space Flight Center,[N/A for IDVs],,'NA',4/10/2015,[None Indicated],", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Government-Wide Agency Contract (GWAC), Firm Fixed Price",0,0,0,541519,NNG13451284R,N/A,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS; OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS; AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",,,,
"AVERTIUM TENNESSEE, INC [KNOXVILLE,TENNESSEE]",NNK16MB09D,KSC - Kennedy Space Flight Center,KNOXVILLE,TN,'02',9/2/2016,9/30/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"335,608","335,608",541519,N/A,N/A,IBM RECORDING AND RETRIEVAL STORAGE SYSTEM; BASE PERIOD OF PERFORMANCE: 2 SEP 16 - 30 SEP 17,,,,
"AVIATE ENTERPRISES, INC. [MCCLELLAN,CALIFORNIA]",80NSSC19P1212,NSSC - NASA Shared Services Center,MCCLELLAN,CA,'06',6/5/2019,10/4/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Purchase Order, Firm Fixed Price",0,"67,851","67,851",336413,N/A,N/A,OTTHIS ORDER IS FOR ONE 15K FORKLIFT TOYOTA MODEL8FD70U BASED ON QUOTE NUMBER Q19136-06 DATED 05/20/2019.,,,,
"AVIATION BRAKE SERVICES, INC [MIAMI,FLORIDA]",80NSSC20P1307,NSSC - NASA Shared Services Center,MIAMI,FL,'25',6/18/2020,7/2/2020,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price","4,600","4,600","4,600",336413,N/A,N/A,THIS IS FOR OVERHAUL OF P/N: 2602012-50 BRAKE ASSEMBLY (SN: B0468 / 0115 - QTY 2 EA).,,,,
"AVIATION GROUND EQUIPMENT CORP. [MELVILLE,NEW YORK]",80NSSC20P0701,NSSC - NASA Shared Services Center,MELVILLE,NY,'03',2/28/2020,2/28/2020,", Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Veteran Owned","Purchase Order, Firm Fixed Price","34,700","34,700","34,700",336413,80NSSC20Q0355,N/A,AIRCRAFT GPU (GROUND POWER UNIT)&CABLES&CABLE INPUT,,,,
"AVIATION TOOL POOLING, LLC [ADA,MICHIGAN]",80NSSC20P1877,NSSC - NASA Shared Services Center,ADA,MI,'03',9/17/2020,10/1/2020,", Small Disadvantaged Business, Small Business - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price","24,576","24,576","24,576",336413,N/A,N/A,"THIS IS FOR AVIATION POOL TOLING, INC., BRAND, P/N: ALT-8000, RADIO ALTIMETER TEST SET QTY 1 EA.",,,,
"AVIONICS COUNSELING EXPERTS, LLC [MARCELLUS,NEW YORK]",80NSSC19P1871,NSSC - NASA Shared Services Center,MARCELLUS,NY,'24',9/10/2019,9/30/2020,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,"26,000","26,000",541330,80NSSC19Q1013,N/A,"THIS IS FOR TCAS INTEGRATION ENGINEERING SERVICES, INCLUDING TRAVEL.",,,,
"AVMET APPLICATIONS, INC. [RESTON,VIRGINIA]",80NSSC19C0617,NSSC - NASA Shared Services Center,RESTON,VA,'11',9/4/2019,9/3/2020,", Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Definitive Contract, Firm Fixed Price",0,"399,954","399,954",541715,N/A,N/A,WEATHER TRANSLATION MODEL FOR UAM,,,,
"AVMET APPLICATIONS, INC. [RESTON,VIRGINIA]",80NSSC20C0468,NSSC - NASA Shared Services Center,RESTON,VA,'11',8/28/2020,3/1/2021,", Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Definitive Contract, Firm Fixed Price","124,918","124,918","124,918",541715,N/A,N/A,AN AUTONOMOUS SEVERE WEATHER TREND MONITOR FOR IMPROVED SYSTEM-WIDE TFM EXECUTION,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80LARC18P0038,LaRC - Langley Research Center,PHOENIX,AZ,'07',9/18/2018,1/10/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","309,697","619,394","619,394",423690,420662257Q,N/A,DC-DC (DIRECT CURRENT TO DIRECT CURRENT)CONVERTERS,,,,
"AVNET, INC. [MARIETTA,GEORGIA]",80LARC19F0041,LaRC - Langley Research Center,MARIETTA,GA,'11',2/15/2019,3/7/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price",0,"179,512","179,512",423690,N/A,N/A,SPACE QUALIFIED ELECTRONIC COMPONENTS AGAINST BLANKET PURCHASE AGREEMENT BPA NNL14AQ06Z FOR THE CLARREO (CLIMATE ABSOLUTE RADIANCE AND REFRACTIVITY OBSERVATORY) PATHFINDER FLIGHT,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80MSFC19P0024,MSFC - Marshall Space Flight Center,FORT LAUDERDALE,FL,'22',4/4/2019,4/6/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"283,800","283,800",511210,80MSFC19Q0003,N/A,"SUPPORT&MAINTENANCE - SIMICS EXPRESS, AND SIMICS 5 PRE-CONFIGURED VIRTUAL PLATFORM LICENSES",,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80MSFC19P0036,MSFC - Marshall Space Flight Center,FORT LAUDERDALE,FL,'22',5/14/2019,5/13/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"456,864","456,864",511210,80MSFC19O5882,N/A,RENEWAL OF WIND RIVER SOFTWARE LICENSE,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80MSFC20P0019,MSFC - Marshall Space Flight Center,FORT LAUDERDALE,FL,'22',6/17/2020,6/15/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","682,563","682,563","682,563",334111,80MSFC20Q728141,N/A,THIS PROCUREMENT IS FOR THE PURCHASE OF VXWORKS 653 AND SIMICS 5 PRE-CONFIGURED VIRTUAL PLATFORM LICENSES AND MAINTENANCE SUPPORT.,,,,
"AVNET, INC. [ORLANDO,FLORIDA]",80NSSC19P0883,NSSC - NASA Shared Services Center,ORLANDO,FL,'07',4/15/2019,4/14/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,0,0,423690,N/A,N/A,XILINX MAINTENANCE,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC19P1494,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',7/10/2019,8/7/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"13,243","13,243",541511,N/A,N/A,VXWORKS 6.9 LICENSE RENEWAL 1 YEAR,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC19P1738,NSSC - NASA Shared Services Center,MARIETTA,GA,'11',8/6/2019,10/29/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"31,937","31,937",334419,80NSSC19Q0848,N/A,SWITCHING CONVERTERS FOR NAVIGATION DOPPLER LIDAR,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC19P1892,NSSC - NASA Shared Services Center,PHOENIX,AZ,'07',8/20/2019,10/24/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"180,000","180,000",334418,80NSSC19Q0974,N/A,FPGAS FOR NAVIGATION DOPPLER LIDAR (NDL),,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC19P2264,NSSC - NASA Shared Services Center,PHOENIX,AZ,'07',9/19/2019,10/18/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"13,008","13,008",334419,80NSSC19Q1059,N/A,OT; 50 - LP2953AMGW-QMLV,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P0086,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',10/21/2019,10/25/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","32,110","32,110","32,110",541511,80NSSC20Q0032,N/A,WIND RIVER SYSTEMS FOR THE WIND RIVER VXWORKS 653 PLATFORM 2.5 ESSENTIALS TRAINING.,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P0097,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',10/23/2019,9/11/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","37,607","37,607","37,607",511210,80NSSC20Q0018,N/A,SOFTWARE SUPPORT AND MAINTENANCE FOR VXWORKS 6.9&RIVER WORKBENCH,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC20P0240,NSSC - NASA Shared Services Center,PHOENIX,AZ,'07',11/27/2019,12/25/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","16,236","16,236","16,236",423690,N/A,N/A,THIS PURCHASE ORDER IS FOR ANALOG TO DIGITAL CONVERTERS QUANTITY 20 PLUS SHIPPING PER QUOTE 702464508 DATED 11/04/2019.....DELIVERY IS 4 WEEKS AFTER RECEIPT OF ORDER.....,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC20P0553,NSSC - NASA Shared Services Center,PHOENIX,AZ,'07',2/5/2020,2/4/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","32,756","32,756","32,756",541511,N/A,N/A,RENEWAL OF GSFC XILINX NETWORK LICENSES,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P0661,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',2/20/2020,3/6/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","14,158","14,158","14,158",423690,N/A,N/A,100V 100KRAD HI-REL SINGLE N-CHANNEL TID HARDENED MOSFET IN A SMD-0.5 PACKAGE/PART #:  IRHNJ67130/UNIT COST: $707.89/QUANTITY: 20,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P0692,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',2/27/2020,3/22/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","55,500","55,500","55,500",511210,80NSSC20Q0308,N/A,VX WORK RENEWAL,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P1034,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',4/28/2020,9/15/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,0,0,423690,N/A,N/A,RADIATION HARDENED 3.3V SUPERVISORY CIRCUIT,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC20P1102,NSSC - NASA Shared Services Center,PHOENIX,AZ,'07',5/13/2020,9/30/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","178,693","178,693","178,693",423690,N/A,N/A,RADIATION CIRCUITS,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P1174,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',5/21/2020,8/8/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","108,654","108,654","108,654",511210,80NSSC20730909Q,N/A,HELIX VIRTUAL PLATFORM,,,,
"AVNET, INC. [FORT LAUDERDALE,FLORIDA]",80NSSC20P1237,NSSC - NASA Shared Services Center,FORT LAUDERDALE,FL,'22',6/5/2020,6/4/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","15,000","15,000","15,000",511210,N/A,N/A,VXWORKS 6.9 ANNUAL LICENSE RENEWAL,,,,
"AVNET, INC. [PHOENIX,ARIZONA]",80NSSC20P2328,NSSC - NASA Shared Services Center,PHOENIX,AZ,'07',9/25/2020,10/7/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","14,241","14,241","14,241",511210,80NSSC20742527QR1,N/A,SW  - VIVADO,,,,
"AVO MULTI-AMP CORPORATION [DALLAS,TEXAS]",80NSSC19P2384,NSSC - NASA Shared Services Center,DALLAS,TX,'30',9/30/2019,12/15/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","3,959","40,178","40,178",334515,80NSSC19Q1249,N/A,STATIC MOTOR ANALYZER,,,,
"AWD MANAGEMENT SERVICES [LAWRENCEVILLE,GEORGIA]",NNJ15RA34B,JSC - Johnson Space Flight Center,[N/A for IDVs],,'NA',9/14/2015,[None Indicated],", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Small Business, Subchapter S Corporation, Women Owned, Women Owned Small Business","Indefinite Delivery Contract, Firm Fixed Price","11,769,508","55,156,384",0,561110,NNJ13473923R,N/A,IGF::OT::IGF JSC ADMINISTRATIVE SUPPORT SERVICES II (JASS II),,,,
"AXCELIS TECHNOLOGIES INC [BEVERLY,MASSACHUSETTS]",NNG14RG83D,GSFC - Goddard Space Flight Center,BEVERLY,MA,'06',8/14/2014,8/13/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","BPA Call, Firm Fixed Price","-20,000","15,498","15,498",333242,N/A,N/A,IGF::CL::IGF  -  PREVENTIVE MAINTENANCE SERVICES AND TECHNICAL SUPPORT FOR A NV1002 ION IMPLANTER.,,,,
"AXIOM SPACE, INC. [WEBSTER,TEXAS]",80JSC020D0017,JSC - Johnson Space Flight Center,[N/A for IDVs],,'NA',2/28/2020,[None Indicated],", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Indefinite Delivery Contract, Firm Fixed Price","38,998,846","38,998,846",0,541715,NNH16ZCQ001-CDISS,N/A,COMMERCIAL DESTINATION DEVELOPMENT IN LOW EARTH ORBIT (LEO) FREE FLYER (CDISS),,,,
"AXIOM SPACE, LLC [WEBSTER,TEXAS]",80JSC019C0002,JSC - Johnson Space Flight Center,WEBSTER,TX,'36',2/12/2019,2/13/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Definitive Contract, Firm Fixed Price",0,"1,200,000","1,200,000",541690,NNJ13ZBG001N,N/A,TECHNICAL FEASIBILITY STUDY FOR RODENT MISSION,,,,
"AXSUN TECHNOLOGIES, INC. [BILLERICA,MASSACHUSETTS]",80NSSC20P1671,NSSC - NASA Shared Services Center,BILLERICA,MA,'06',7/29/2020,9/30/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Purchase Order, Firm Fixed Price","25,050","25,050","25,050",334510,N/A,N/A,"1AXP50125-3 CONTINUOUS WAVELENGTH SWEEPING LASER AT 1030NM, SHIPPING",,,,
"AXUS TECHNOLOGY, LLC [CHANDLER,ARIZONA]",80GSFC20P0018,GSFC - Goddard Space Flight Center,CHANDLER,AZ,'09',6/24/2020,8/23/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","476,000","476,000","476,000",333242,80GSFC20Q0005,N/A,CHEMICAL MECHANICAL PLANARIZATION SYSTEM,,,,
"AYUDA COMPANIES [DENVER,COLORADO]",80JSC018F0291,JSC - Johnson Space Flight Center,HOUSTON,TX,'36',9/19/2018,7/29/2020,", Small Disadvantaged Business, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Small Business, Subchapter S Corporation, Women Owned, Women Owned Small Business","Delivery Order, Firm Fixed Price",0,"1,078,673","1,078,673",236220,N/A,N/A,RESTORATION OF THE APOLLO MISSION CONTROL CENTER,,,,
"AYUDA COMPANIES [DENVER,COLORADO]",80JSC019F0194,JSC - Johnson Space Flight Center,DENVER,CO,'01',7/26/2019,12/31/2020,", Small Disadvantaged Business, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Small Business, Subchapter S Corporation, Women Owned, Women Owned Small Business","Delivery Order, Firm Fixed Price","47,687","294,697","294,697",562910,N/A,N/A,"WORKING WITH THE JSC HISTORIC PRESERVATION OFFICER, DEVELOP A CONCEPTUAL PLANFOR THE INTERPRETIVE PARK UTILIZING THE THEMES OF THE INTERPRETIVE PLAN. INCLUDERENDERINGS OF INTERPRETIVE PARK, REQUIRED SIGNAGE, AND STORYTELLING ELEMENTS OF THEGARDEN",,,,
"AZ TECHNOLOGY, INC. [HUNTSVILLE,ALABAMA]",80NSSC20P2058,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',9/9/2020,10/14/2020,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Service Related Disabled Veteran Owned Business, Small Business, Subchapter S Corporation, Veteran Owned, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","24,915","24,915","24,915",541990,N/A,N/A,"OT REFURB AND REBUILD TEMP 2000A INCLUDES CONTROL BOX, MEASUREMENT HEAD, SOFTWARE UPDATE WITH MANUAL, CARRY CASE, CABLES, AND 2 REFERENCE SAMPLES",,,,
"AZAVEA INC. [PHILADELPHIA,PENNSYLVANIA]",80NSSC19C0523,NSSC - NASA Shared Services Center,PHILADELPHIA,PA,'03',8/19/2019,2/18/2020,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Definitive Contract, Firm Fixed Price",0,"125,000","125,000",541715,N/A,N/A,ADVANCING HYPERSPECTRAL DATA CUBE QUERY CAPABILITIES THROUGH APACHE SPARK DATAFRAME ABSTRACTION.,,,,
"AZAVEA INC. [PHILADELPHIA,PENNSYLVANIA]",80NSSC20C0183,NSSC - NASA Shared Services Center,PHILADELPHIA,PA,'03',7/6/2020,7/5/2022,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Definitive Contract, Firm Fixed Price","749,999","749,999","749,999",541715,N/A,N/A,AZAVEA,,,,
"AZTEC TECHNOLOGY CORPORATION [VISTA,CALIFORNIA]",80NSSC20P1312,NSSC - NASA Shared Services Center,VISTA,CA,'49',6/10/2020,6/24/2020,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price","29,387","29,387","29,387",332311,80NSSC20727204,N/A,THERMOKING 40FT REFRIGERATED CONTAINER,,,,
