Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Johanna Jurcsik,"['Hungarian Academy of Sciences', 'Konkoly Observatory', 'PO Box 67', 'Thege U 13/17', '1525 Budapest', 'Hungary']"
Zsolt Kovari,"['Research Centre for Astronomy and Earth Sciences, Hungarian Academy of Sciences', 'Konkoly Observatory', 'Konkoly Thege ut 15-17.', '1121 Budapest', 'Hungary']"
Laszlo Viktor Toth,"['Eötvös Loránd University', 'Astronomy Dept', 'XI. Pázmány Péter sétány', '1/A', '1518 Budapest', 'Hungary']"
Jayaram N. Chengalur,"['NCRA-TIFR', 'National Centre for Radio Astrophysics', 'Post Bag 3, Ganeshkhind', 'Pune University Campus', 'Pune 411 007', 'Maharashtra', 'India']"
Raghunathan Srianand,"['Inter-University Centre for Astron and Astrophy', 'IUCAA', 'Post Bag 4 Ganeshkhind', 'Pune Univ Campus', 'Pune 411 007', 'Maharashtra', 'India']"
Ranjan Gupta,"['Inter-University Centre for Astron and Astrophy', 'IUCAA', 'Post Bag 4 Ganeshkhind', 'Pune Univ Campus', 'Pune 411 007', 'Maharashtra', 'India']"
Jagdish Singh Yadav,"['Tata Inst of Fundamental Research', 'Dept of Astronomy and astrophysics', 'Homi Bhabha Rd', 'Mumbai 400 005', 'Maharashtra', 'India']"
Devendra Kumar Ojha,"['Tata Institute of Fundamental Research', 'Department of Astronomy & Astrophysics', 'Homi Bhabha Road', 'Colaba', 'Mumbai 400 005', 'Maharashtra', 'India']"
Sushanta C. Tripathy,"['National Solar Observatory', 'GONG Program', '950 N. Cherry Ave', 'Tucson AZ 85712', 'Arizona (AZ)', 'United States']"
Ashok K. Singal,"['Physical Research Laboratory', 'Astronomy & Astrophysics Division', 'Navrangpura', 'Ahmedabad 380 009', 'Gujarat', 'India']"
Kiran Singh Baliyan,"['Physical Research Laboratory', 'Astronomy & Astrophysics Division', '61-Shreerang Villa Row houses', 'Nr L J Commerce College, Vastrapur', 'Ahmedabad 380015', 'Gujarat', 'India']"
Biman B. Nath,"['Raman Research Institute', 'CV Raman Avenue', 'Sadashivanagar', 'Bangalore 560 080', 'Karnataka', 'India']"
Anita Mohan,"['Banaras Hindu University', 'Department of Applied Physics', 'Varanasi 221 005', 'Uttar Pradesh', 'India']"
Wahab Uddin,"['Aryabhatta Research Inst of observational sciencES', 'ARIES', 'Manora Peak', 'Naini Tal 263 129', 'Uttaranchal', 'India']"
Mahendra Singh,"['ARIES', 'Aryabhatta Research Inst of observational sciences', 'Manora Peak', 'Naini Tal 263 129', 'Uttaranchal', 'India']"
Abhas Kumar Mitra,"['Bhabha Atomic Research Centre', 'BARC', 'Theoretical Astrophysics Dept', 'Trombay', 'Mumbai 400 085', 'Maharashtra', 'India']"
Mir Abbas Jalali,"['Joby Aviation', '340 Woodpecker Ridge', 'Santa Cruz 95060', 'California (CA)', 'United States']"
Ray F. Butler,"['National University of Ireland', 'School of Physics / Centre for Astronomy', 'University Rd', 'Galway', 'Ireland']"
Turlough Downes,"['Dublin City University', 'School of Mathematical Sciences', '9 Glasnevin', 'Ireland']"
Aaron Golden,"['National University of Ireland, Galway', 'School of Mathematics, Statistics & Applied Mathematics', 'University Road', 'Galway', 'Ireland']"
Lorraine O. Hanlon,"['University College Dublin', 'School of Physics', 'Belfield', '4 Dublin', 'Ireland']"
Nathan Netzer,"['ORT Braude College', 'Physics', '46 Bikurim St.', 'Haifa 34577', 'Israel']"
Morris Podolak,"['Tel Aviv University', 'Dept Geophys & Planetary Science', 'Ramat Aviv', 'Tel Aviv 69978', 'Israel']"
Sandro Bardelli,"['INAF', 'Osservatorio Astronomico di Bologna', 'Via Ranzani 1', '40127 Bologna', 'Italy']"
Andrea Biviano,"['INAF', 'Osservatorio Astronomico di Trieste', 'Via G. B. Tiepolo 11', '34143 Trieste', 'Italy']"
Stefano Borgani,"['Università di Trieste', 'Dipartimento di Fisica', 'Via G. B. Tiepolo 11', '34131 Trieste', 'Italy']"
Alessandro Bressan,"['SISSA', 'Astrophysics', 'via Bonomea, 265', '34136 Trieste', 'Italy']"
Giovanni Carraro,"['European Southern Observatory', 'Science Operations', 'Alonso de Cordova 3107', '19001 Santiago de Chile', 'Chile']"
Paola Caselli,"['Max-Planck-Institute for Extraterrestrial Physics', 'Center for Astrochemical Studies', 'Giessenbachstrasse 1', 'D-85748 --Garching', 'Germany']"
Ileana Chinnici,"['INAF', 'Osservatorio Astronomico di Palermo G.S.Vaiana', 'Piazza del Parlamento 1', '90134 Palermo', 'Italy']"
Rosario Cosentino,"['Istituto Nazionale di AstroFisica', 'INAF', 'Galileo National Telescope', 'Rambla José Ana Fernández Pérez, 7', '38712 Breña Baja', 'Spain']"
Gabriele Cremonese,"['Istituto Nazionale di Astrofisica', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Giancarlo Cusumano,"['CNR-IASF', 'Via Ugo La Malfa 153', '90146 Palermo', 'Italy']"
Maria Cristina de Sanctis,"['INAF', 'IASF Sezione di Roma', 'Via Fosso del Cavaliere 100', 'Tor Vergata', '00133 Roma', 'Italy']"
Roberto Della Ceca,"['INAF', 'Osservatorio Astronomico di Brera', 'Via Brera 28', '20121 Milano', 'Italy']"
Mauro D'Onofrio,"['University of Padova', 'Department of Astronomy', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Elisabetta Dotto,"['INAF', 'INAF-Osservatorio Astronomico di Roma', 'Via Frascati 33', 'Monte Porzio Catone (Roma)', 'Rome', 'Italy']"
Antonio Frasca,"['Istituto Nazionale di AstroFisica', 'INAF', 'Osservatorio Astrofisico di Catania', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
Marisa Girardi,"['Università di Trieste', 'Dipartimento di Fisica', 'Via G. B. Tiepolo 11', '34131 Trieste', 'Italy']"
Alessandro C. Lanzafame,"['Università di Catania', 'Dip. Fisica e Astronomia Sez. Astrofisica', 'c/o INAF - Osservatorio Astrofisico di Catania', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
Monica Lazzarin,"['Università di Padova', 'Dipto di Astronomia', ""Vicolo dell'Osservatorio 2"", '35122 Padova', 'Italy']"
Maria Concetta Maccarone,"['Istituto di Astrofisica Spaziale e Fisica Cosmica', 'INAF', 'IASF-Palermo', 'Via Ugo La Malfa 153', '90146 Palermo', 'Italy']"
Roberto Maiolino,"['University of Cambridge', 'Kavli Institute for Cosmology', 'Madingley Road', 'Cambridge CB3 0HA', 'United Kingdom']"
Alessandro Marconi,"['University of Florence', 'Physics and Astronomy', 'Via Giovanni Sansone 1', '50019 Sesto Fiorentino (Firenze)', 'Italy']"
Paola Marziani,"['INAF', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Teresa Mineo,"['Inst di Física Cosmica', ""Applicazion all'Informatica"", 'Via Ugo La Malfa 153', '90146 Palermo', 'Italy']"
Luca Moscadelli,"['INAF', 'Osservatorio Astronomico di Cagliari', 'Poggio dei Pini Strada 54', 'Capoterra', '09012 Cagliari', 'Italy']"
Ulisse Munari,"['INAF-National Institute of Astrophysics', 'Osservatorio Astronomico di Padova', 'c/o Osservatorio Astronomico', '36012 Asiago (VI)', 'Italy']"
Marina Orio,"['INAF - Osservatorio Astronomico di Padova', 'Department of Astronomy', 'Via Osservatorio 20', ""vicolo dell' Osservatorio, 5"", 'I-35122  Padova', 'Italy']"
Maria Elisabetta Palumbo,"['Istituto Nazionale di AstroFisica', 'INAF', 'Osservatorio Astrofisico di Catania', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
Alessandro Pizzella,"['Università di Padova', 'Dip.to di Fisica e Astronomia', ""Vicolo dell'Osservatorio 3"", '35122 Padova', 'Italy']"
Bianca M. Poggianti,"['INAF', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Francesca Primas,"['ESO', 'Observing Programme Office', 'Karl-Schwarzschild-Str 2', '85748 Garching bei München', 'Germany']"
Sofia Randich,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Salvo Scuderi,"['Istituto Nazionale di AstroFisica', 'INAF', 'Osservatorio Astrofisico di Catania', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
Carlo Stanghellini,"['INAF-IRA', 'Istituto di Radioastronomia', 'Via Gobetti 101', '40129 Bologna', 'Italy']"
Leonardo Testi,"['ESO', 'Garching', 'Germany']"
Corrado Trigilio,"['Inst of Radioastronomia', 'Stazione VLBI di Noto', 'CP 141', '96017 Noto (SR)', 'Italy']"
Grazia Umana,"['Inst of Radioastronomia', 'Stazione VLBI di Noto', 'CP 141', '96017 Noto (SR)', 'Italy']"
Antonella Vallenari,"['Istituto Nazionale di Astrofisica', 'INAF', 'Astronomical Observatory of Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Elena Zucca,"['INAF', 'Osservatorio di Astrofisica e Scienza dello Spazio di Bologna', 'Via Gobetti 93/3', '40129 Bologna', 'Italy']"
Kazuhito DOBASHI,"['Tokyo Gakugei University', 'Astronomy/Earth Sciences Dept', '4-1-1 Nukuikitamachi', 'Koganei, Tokyo 184-8501', 'Kanto', 'Japan']"
Yutaka FUJITA,"['Graduate School of Science', 'Tokyo Metropolitan University', 'Physics', '1-1 Minami-Osawa, Hachioji-shi', 'Tokyo 192-0397', 'Kanto', 'Japan']"
Toshiyuki FUKUSHIGE,"['K&F Computing Research Co.', '1-21-6-407 Kojima-cho', 'Chofu 182-0026', 'Kanto', 'Japan']"
Hirohisa HARA,"['National Astronomical Observatory of Japan', 'NAOJ', 'Hinode Science Center', '2-21-1 Osawa', 'Mitaka-shi', 'Tokyo 181-8588', 'Kanto', 'Japan']"
Mizuhiko HOSOKAWA,"['National Institute of Information and Communications Technology', 'Senior Executive Director', '4-2-1 Nukuikitamachi', 'Koganei, Tokyo 184-8795', 'Kanto', 'Japan']"
Fumihide IWAMURO,"['Kyoto University', 'Dept. of Astronomy', 'Kitashirakawa-Oiwake-cho', 'Sakyo-ku', 'Kyoto 606-8502', 'Kinki', 'Japan']"
Hidehiro KANEDA,"['Nagoya University', 'Division of Particle and Astrophysical Sciences, G', 'Furo-cho', 'Chikusa-ku', 'Nagoya 464-8602', 'Chubu', 'Japan']"
Yoko FUNATO,"['University of Tokyo', 'Dept General Systems Studies', '3-8-1 Komaba', 'Meguro-ku', 'Tokyo 153-8902', 'Kanto', 'Japan']"
Taichi KATO,"['Kyoto University', 'Department of Astronomy', 'Kitashirakawa-Oiwake-cho', 'Sakyo-ku', 'Kyoto 606-8502', 'Kinki', 'Japan']"
Akiko KAWAMURA,"['National Astronomical Observatory of Japan', 'Chile Observatory', '2-21-1 Osawa', 'Mitaka', 'Tokyo 181-8588', 'Japan']"
Shiho Kobayashi,"['Liverpool John Moores University', 'Astrophysics Research Institute', 'IC2 building, Liverpool Science Park', '146 Brownlow Hill', 'Liverpool L3 5RF', 'United Kingdom']"
Tadayuki KODAMA,"['Tohoku University', 'Astronomical Institute', '6-3 Aramaki', 'Aoba-ku', 'Sendai 980-8578', 'Tohoku', 'Japan']"
Kotaro KOHNO,"['The University of Tokyo', 'Institute of Astronomy', '2-21-1 Osawa', 'Mitaka', 'Tokyo 181-0015', 'Kanto', 'Japan']"
Tomoaki MATSUMOTO,"['Hosei University', 'Faculty of Humanity & Environment', '2-17-1 Fujimi', 'Chiyoda-ku', 'Tokyo 102-8160', 'Kanto', 'Japan']"
SHUJI MATSUURA,"['Japan Aerospace Exploration Agency', 'Inst of Space & Astronautical Sciences/ISAS/JAXA', 'Space Astronomy and Astrophysics', '3-1-1 Yoshinodai', 'Sagamihara, Kanagawa 252-5210', 'Kanto', 'Japan']"
Ryosuke Miyawaki,"['J. F. Oberlin University', '3758 Tokiwa', 'Machida', 'Tokyo 194-0294', 'Kanto', 'Japan']"
Masao MORI,"['Tsukuba University', 'Center for Computational Sciences', '1-1-1 Tennodai', 'Tsukuba, Ibaraki 305-8577', 'Japan']"
Fumitaka NAKAMURA,"['National Astronomical Observatory of Japan', 'Division of Theoretical Astronomy', '2-21-1 Osawa', 'Mitaka 181-8588', 'Kanto', 'Japan']"
Takuji NAKAMURA,"['Kyoto University', 'Radio Science Center f Space & Atmosphere', 'Kyoto 611-0011', 'Kinki', 'Japan']"
Toshikazu ONISHI,"['Osaka Prefecture University', 'Dept of Physical Science', '1-1 Gakuen-cho', 'Nakaku', 'Sakai 599-8531', 'Kanto', 'Japan']"
Isao SATO,"['3-33 Izumi-cho', 'Sakata', 'Yamagata 998-0018', 'Japan']"
Tomoharu SUZUKI,"['Chubu University', 'College of Engineering', '1200 Matsumoto-cho, Kasugai', 'Aichi 487-8501', 'Chubu', 'Japan']"
Hideyuki TAGOSHI,"['Graduate School of Science', 'The University of Tokyo', 'Institute for Cosmic Ray Research', 'Kashiwanoha 5-1-5', 'Kashiwa 277-8582', 'Kanto', 'Japan']"
Junko TAKAHASHI,"['Meiji Gakuin University', 'Current Legal Studies', '1-2-37 Shirokanedai', 'Minato-ku', 'Tokyo 108-8636', 'Kanto', 'Japan']"
Masao TAKATA,"['University of Tokyo', 'Dept Astronomy School of Science', 'Bunkyo-ku', 'Tokyo 113-0033', 'Kanto', 'Japan']"
Tadafumi TAKATA,"['National Astronomical Observatory of Japan', 'NAOJ', 'Astronomy Data Center', 'Osawa 2-21-1', 'Mitaka 181-8588', 'Kanto', 'Japan']"
Atsushi TARUYA,"['Kyoto University', 'Yukawa institute for Theoretical Physics', 'Kitashirakawa Oiwakecho, Sakyo-ku', 'Kyoto 606-8502', 'Kinki', 'Japan']"
Akihiko Tomita,"['Wakayama University', 'Faculty of Education', '930 Sakaedani', 'Wakayama 640-8510', 'Kinki', 'Japan']"
Tomonori TOTANI,"['the University of Tokyo', 'Dept of Astronomy', 'Dept. Astronomy, Univ. of Tokyo', '7-3-1 Hongo, Bunkyo-ku', 'Tokyo 113-0033', 'Kanto', 'Japan']"
Issei YAMAMURA,"['Inst Space & Astronautical Science', 'Infrared Astrophysics Dept', '3-1-1 Yoshinodai', 'Chuo-ku', 'Sagamihara, Kanagawa 252-5210', 'Kanto', 'Japan']"
Yoshinori YONEKURA,"['Ibaraki University', 'Center for Astronomy', '2-1-1 Bunkyo, Mito, Ibaraki', 'Mito 310-8512', 'Kanto', 'Japan']"
Shin'ichirou YOSHIDA,"['University of Tokyo', 'Earth Science and Astronomy', 'Komaba 3-8-1', 'Meguro', 'Tokyo 153-8902', 'Kanto', 'Japan']"
Yukari Y. YUI,"['Japan Aerospace Exploration Agency', 'Satellite Application Mission Directorate', 'Sola City 14F', '4-6 Kanda-Surugadai, Chiyoda-ku', 'Tokyo 101-8008', 'Kanto', 'Japan']"
Yong-Ik BYUN,"['Yonsei University', 'Dept Astronomy', '50 Yonsei-Ro', 'Seodaemun-Gu', 'Seoul 03722', 'Korea, Rep of']"
Cheongho HAN,"['Chongju University', 'Dept of Physics', '36 Naedok-Dong', 'Sangdang-gu', 'Chongju 360-764', 'Korea, Rep of']"
Wonyong HAN,"['Korea Astronomy and Space Science Institute', 'Space Science Division', '61-1 Whaam-Dong', 'Yuseong-Gu', 'Daejeon 305-348', 'Korea, Rep of']"
Minwhan JANG,"['Kyung Hee University', 'Dept Astronomy-Space Science', 'Yongin Kyungki Do', 'Daejeon 305-348', 'Korea, Rep of']"
Jae-Hoon JUNG,"['Korea Astronomy & Space Science Inst', 'Taeduk Radio Astron Observ', '61-1 Whaam-Dong', 'Yuseong-Gu', 'Daejeon 305-348', 'Korea, Rep of']"
Hyesung KANG,"['Pusan National University', 'Dept of Earth Sciences', 'Kuem Jeong Ku', 'Pusan 609-735', 'Korea, Rep of']"
Hyun-Goo KIM,"['Korea Astronomy & Space Science Inst', '61-1 Whaam-Dong', 'Yuseong-Gu', 'Daejeon 305-348', 'Korea, Rep of']"
Yong Cheol KIM,"['Yonsei University', 'Astronomy Dept', '134 Sinchon-Dong', 'Seodaemun-Ku', 'Seoul 120-749', 'Korea, Rep of']"
Eun Hee LEE,"['Yonsei University', 'Dept. of  Astronomy', '631, Science Hall, 50 Yonsei-ro', 'Seodaemun-Ku', 'Seoul 03722', 'Korea, Rep of']"
Youngung LEE,"['Korea Astronomy Observatory', 'Daeduk-daero 776', 'Yuseong-Gu', 'Daejeon 305-348', 'Korea, Rep of']"
Jang Hyun PARK,"['Korea Astronomy Observatory', '61-1 Whaam-Dong', 'Yuseong-Gu', 'Daejeon 305-348', 'Korea, Rep of']"
Myung Hyun RHEE,"['SETI KOREA Society', 'Executive office', 'Jin-Heung-Ro 25-Gil 26, Yeti House 301', 'JongRo-Gu', 'Seoul 110-803', 'Korea, Rep of']"
Young Jong SOHN,"['Yonsei University', 'Dept Astronomy-Space Science', '134 Sinchon-Dong', 'Seodaemun-Ku', 'Seoul 120-749', 'Korea, Rep of']"
Jongmann YANG,"['EWHA Womans University', 'Dept of Physics', '11-1 Daehyun-Dong', 'Seodaemun-Gu', 'Seoul 120-750', 'Korea, Rep of']"
Herve Abgrall,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Jean-Michel A. Alimi,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Christian Balanca,"['Observatoire Paris-Site de Meudon', 'LERMA', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Jean-Philippe R. Beaulieu,"[""Institut d'Astrophysique de Paris"", '98bis Bd Arago', '75014 Paris', 'France']"
Jean-Luc Beuzit,"['Observatoire de Grenoble', 'Laboratoire Astrophysique', 'BP 53', '38041 Grenoble Cedex 9', 'France']"
Bruno G. Bezard,"['Observatoire Paris-Site de Meudon', 'LESIA', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Francoise Billebaud,"['Observatoire de Bordeaux', ""2 r de l'Observatoire"", 'BP 89', '33270 Floirac', 'France']"
Christian Bizouard,"['Observatoire de Paris', 'SYRTE', ""61 Av de l'Observatoire"", '75014 Paris', 'France']"
Torsten C. Boehm,"['Observatoire Midi-Pyrenées', '14 Av E Belin', '31400 Toulouse Cedex', 'France']"
Francois Bonnarel,"['Observatoire Astronomique Strasbourg', ""11 r de l'Université"", '67000 Strasbourg', 'France']"
Sylvain Bontemps,"['Observatoire de Bordeaux', ""2 r de l'Observatoire"", 'BP 89', '33270 Floirac', 'France']"
Jonathan Braine,"['Observatoire de Bordeaux', ""Laboratoire d'Astrophysique de Bordeaux"", ""2 r de l'Observatoire"", 'BP 89', '33270 Floirac', 'France']"
Sylvie Cabrit,"['Observatoire de Paris', 'LERMA', ""61 Av de l'Observatoire"", 'Bat. A', '75014 Paris', 'France']"
Veronique Cayatte,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Corinne Charbonnel,"['Geneva Observatory (Switzerland)', '& CNRS (France)', 'Chemin des Maillettes 51', '1290 Versoix', 'Switzerland']"
Pierre Colom,"['Observatoire Paris-Site de Meudon', 'LESIA', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Bertrand Dauphole,"['Observatoire de Bordeaux', ""2 r de l'Observatoire"", 'BP 89', '33270 Floirac', 'France']"
Patrick de Laverny,"[""Observatoire de la Côte d'Azur"", 'BP4229', '06304 Nice - cecex4', 'France']"
Anne C. Decourchelle,"['CEA Saclay', ""Service d'Astrophysique"", ""L'Orme des Merisiers Bat 709"", 'BP 2', '91191 Gif-sur-Yvette Cedex', 'France']"
Pascal Descamps,"['Observatoire de Paris', 'IMCCE', '77 Av Denfert Rochereau', 'Bat. A', '75014 Paris', 'France']"
Kjetil Dohlen,"[""Laboratoire d'Astrophysique de Marseille"", 'Service Optique', 'O A M P - Chateau-Gombert - Pôle de l’Etoile', '38 rue Frédéric Joliot-Curie', '13388 Marseille Cedex 13', 'France']"
Francois Dulieu,"['U Cergy Pontoise', '95031 Cergy Pontoise', 'France']"
Anne-Marie Dumont,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Cécile Ferrari,"['Université Paris Diderot', 'Planetologie et Sciences Spatiales / Institut de Physique du Globe de Paris', 'Case 7089', '5 rue Thomas Mann', '75205 Paris cedex 13', 'France']"
Katia M. Ferriere,"['Observatoire Midi-Pyrenées', '14 Av E Belin', '31400 Toulouse Cedex', 'France']"
Jean-Hugues Fillion,"['Sorbonne Université', 'LERMA', '4 Place Jussieu', '75252 PARIS Cedex 05', 'France']"
Andrea Goldwurm,"['IRFU / CEA Saclay', ""Service d'Astrophysique"", 'Orme des Merisiers, Bat 709', '91191 Gif-sur-Yvette Cedex', 'France']"
Anne-Marie Gontier,['France ']
Jean-Marie Hameury,"['Observatoire Astronomique Strasbourg', ""11 r de l'Université"", '67000 Strasbourg', 'France']"
Daniel Hestroffer,"['Observatoire de Paris', 'IMCCE', '77 Av Denfert Rochereau', 'Bat. A', '75014 Paris', 'France']"
Thibaut R. Le Bertre,"['Observatoire de Paris', 'LERMA', ""61 Av de l'Observatoire"", 'Bat. A', '75014 Paris', 'France']"
Alain Lecavelier des Etangs,"[""Institut d'Astrophysique de Paris"", '98bis Bd Arago', '75014 Paris', 'France']"
Shude Mao,"['University of Manchester', 'Jodrell Bank Observatory', 'Jodrell Bank', 'Macclesfield SK11 9DL', 'United Kingdom']"
Andrew John Norton,"['The Open University', 'Department of  Physics & Astronomy', 'Walton Hall', 'Milton Keynes MK7 6AA', 'Buckingham', 'United Kingdom']"
Sebastian J. Oliver,"['University of Sussex', 'Dept. of Physics and Astronomy', 'Falmer', 'Brighton BN1 9QH', 'United Kingdom']"
Clare E. Parnell,"['University of St Andrews', 'School Maths-Statistics', 'North Haugh', 'St Andrews KY16 9SS', 'United Kingdom']"
Michael R.E. Proctor,"['University of Cambridge', 'DAMTP Centre for Mathematical Sciences', 'Wilberforce Rd', 'Cambridge CB3 0WA', 'United Kingdom']"
Clive Ruggles,"['University of Leicester', 'School of Archaeology and Ancient History', 'University Road', 'Leicester LE1 7RH', 'United Kingdom']"
Sara S. Russel,"['National History Museum', 'Dept Mineralogy', 'Cromwell Rd', 'London SW7 5BD', 'United Kingdom']"
Anne E. Sansom,"['University of Central Lancashire', 'Jeremiah Horrocks Institute', 'Preston PR1 2HE', 'Lancashire', 'United Kingdom']"
Anvar Muhamadovich Shukurov,"['Newcastle University', 'School of Mathematics, Statistics and Physics', 'Newcastle upon Tyne NE1 7RU', 'United Kingdom']"
Steven M. Tobias,"['University of Leeds', 'Dept of Applied Mathematics', 'Leeds LS2 9JT', 'United Kingdom']"
